Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa           Ar*           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1_sensorGrav_bdb.npz           0.1547           1.0           3.0971           4.9446           0.1022
dgbqa           R           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
dgbqa           psi           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
dgbqa           r           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
dgbqa           Ar           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
dgbqa           ArCd           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1_sensorGrav_bdb.npz           0.1547           1.0           3.0971           4.9446           0.1022
dgbqa           Ar_psi           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
dgbqa           Cd_psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-pt5-1pt5_sensorGrav_bdb.npz           0.1448           1.0           3.1115           5.0386           0.0914
dgbqa           euclid           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
dgbqa           corr           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
dgbqa           DCG           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
dgbqa           Kendall           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
dgbqa           ERR           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1pt5-pt1_sensorGrav_bdb.npz           0.1289           1.0           3.206           4.8612           0.2553
dgbqa           U           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
dgbqa           GRE           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
dgbqa           infAp           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGrav_bdb.npz           0.1516           1.0           3.2463           4.774           0.146
dgbqa           NegRel           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1pt5-pt1_sensorGrav_bdb.npz           0.1289           1.0           3.206           4.8612           0.2553
