Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa           Ar*           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
dgbqa           R           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
dgbqa           psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-pt1_sensorGyro_bdb.npz           0.0388           2.0           1.7716           2.5731           0.2405
dgbqa           r           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-pt5_sensorGyro_bdb.npz           0.0847           1.5           2.0461           2.9919           0.146
dgbqa           Ar           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
dgbqa           ArCd           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
dgbqa           Ar_psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
dgbqa           Cd_psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
dgbqa           euclid           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
dgbqa           corr           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
dgbqa           DCG           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
dgbqa           Kendall           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-pt5_sensorGyro_bdb.npz           0.0847           1.5           2.0461           2.9919           0.146
dgbqa           ERR           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-pt5-1pt5_sensorGyro_bdb.npz           0.0871           1.5           2.0347           2.977           0.1051
dgbqa           U           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
dgbqa           GRE           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-pt5_sensorGyro_bdb.npz           0.0847           1.5           2.0461           2.9919           0.146
dgbqa           infAp           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-pt5_sensorGyro_bdb.npz           0.0847           1.5           2.0461           2.9919           0.146
dgbqa           NegRel           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-pt5-pt5_sensorGyro_bdb.npz           0.0818           1.5           1.9755           2.8999           0.1638
dgbqa           RPP           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1_sensorGyro_bdb.npz           0.0421           2.0           1.9456           2.8693           0.1497
dgbqa           relEnt           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0893           1.5           2.0941           3.0554           0.0965
deltaDistance           Ar*           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
deltaDistance           R           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
deltaDistance           psi           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-pt1_sensorGyro_bdb.npz           0.0406           2.0           1.745           2.5546           0.1579
deltaDistance           r           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.0925           1.5           2.4423           3.3017           0.2042
deltaDistance           Ar           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
deltaDistance           ArCd           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
deltaDistance           Ar_psi           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
deltaDistance           Cd_psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorGyro_bdb.npz           0.0925           1.5           2.1375           2.8844           0.0965
deltaDistance           euclid           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
deltaDistance           corr           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
deltaDistance           DCG           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
deltaDistance           Kendall           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorGyro_bdb.npz           0.0925           1.5           2.4423           3.3017           0.2042
deltaDistance           ERR           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1pt5-1pt5_sensorGyro_bdb.npz           0.1001           1.5           2.479           3.3711           0.1398
