Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa           Ar*           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
dgbqa           R           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
dgbqa           psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-pt5-pt1_sensorMagn_bdb.npz           0.0348           2.0           1.7234           2.2966           0.25
dgbqa           r           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
dgbqa           Ar           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
dgbqa           ArCd           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
dgbqa           Ar_psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
dgbqa           Cd_psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-pt5-1pt5_sensorMagn_bdb.npz           0.0406           2.0           1.9316           2.6996           0.0967
dgbqa           euclid           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
dgbqa           corr           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
dgbqa           DCG           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
dgbqa           Kendall           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
dgbqa           ERR           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0401           2.0           1.9335           2.512           0.1233
dgbqa           U           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1pt5-pt1_sensorMagn_bdb.npz           0.0712           1.5           2.0083           2.8641           0.2471
dgbqa           GRE           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
dgbqa           infAp           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-1-1_sensorMagn_bdb.npz           0.0739           1.5           1.9877           2.9098           0.185
dgbqa           NegRel           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-1pt5_sensorMagn_bdb.npz           0.039           2.0           1.9784           2.993           0.1584
dgbqa           RPP           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0401           2.0           1.9335           2.512           0.1233
dgbqa           relEnt           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-1-1pt5_sensorMagn_bdb.npz           0.0409           2.0           1.9553           2.7218           0.0963
deltaDistance           Ar*           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           R           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           psi           ./Embeddings/bdb/idf_vanilla_bdLSTM_1-2-pt1_sensorMagn_bdb.npz           0.0347           2.0           1.6759           2.0313           0.2535
deltaDistance           r           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           Ar           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           ArCd           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           Ar_psi           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           Cd_psi           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-2-1pt5_sensorMagn_bdb.npz           0.0948           1.5           2.3523           2.1806           0.1233
deltaDistance           euclid           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           corr           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           DCG           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           Kendall           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           ERR           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
deltaDistance           U           ./Embeddings/bdb/idf_vanilla_lgtranet_k3-5_1-pt5-pt1_sensorMagn_bdb.npz           0.2047           1.0           3.0061           2.7392           0.2834
