Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa           Ar*           ./Embeddings/ntu/ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           R           ./Embeddings/ntu/ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz           0.1933           1.0           3.7822           3.464           0.1384
dgbqa           psi           ./Embeddings/ntu/ms_hcn_1-pt5-1-multiStepmin3_ntu120.npz           0.1677           1.5           1.8064           2.1315           0.1262
dgbqa           r           ./Embeddings/ntu/ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           Ar           ./Embeddings/ntu/ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           ArCd           ./Embeddings/ntu/ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           Ar_psi           ./Embeddings/ntu/ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           Cd_psi           ./Embeddings/ntu/ms_hcn_1-pt5-1-multiStepmin3_ntu120.npz           0.1677           1.5           1.8064           2.1315           0.1262
dgbqa           euclid           ./Embeddings/ntu/ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           corr           ./Embeddings/ntu/ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           DCG           ./Embeddings/ntu/ms_hcn_1-1-pt5-multiStepmin3_ntu120.npz           0.3186           1.0           3.2953           4.1555           0.1068
dgbqa           Kendall           ./Embeddings/ntu/ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           ERR           ./Embeddings/ntu/ms_hcn_1-1-pt5-multiStepmin3_ntu120.npz           0.3186           1.0           3.2953           4.1555           0.1068
dgbqa           U           ./Embeddings/ntu/ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz           0.1933           1.0           3.7822           3.464           0.1384
dgbqa           GRE           ./Embeddings/ntu/ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           infAp           ./Embeddings/ntu/ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           NegRel           ./Embeddings/ntu/ms_hcn_1-pt5-1pt5-multiStepmin3_ntu120.npz           0.1999           1.5           1.7681           2.686           0.0918
dgbqa           RPP           ./Embeddings/ntu/ms_skateformer_1-pt5-pt01-multiStepmin3_ntu120.npz           0.3618           0.5           3.668           3.3698           0.1831
dgbqa           relEnt           ./Embeddings/ntu/ms_skateformer_1-pt5-pt5-multiStepmin3_ntu120.npz           0.1933           1.0           3.7822           3.464           0.1384
deltaDistance           Ar*           ./Embeddings/ntu/ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
deltaDistance           R           ./Embeddings/ntu/ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
deltaDistance           psi           ./Embeddings/ntu/ms_hcn_1-pt5-1-multiStepmin3_ntu120.npz           0.0495           2.0           0.9719           3.1642           0.1262
deltaDistance           r           ./Embeddings/ntu/ms_hcn_1-2-pt05-multiStepmin3_ntu120.npz           0.3107           0.5           3.1627           4.1824           0.2585
deltaDistance           Ar           ./Embeddings/ntu/ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
deltaDistance           ArCd           ./Embeddings/ntu/ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
deltaDistance           Ar_psi           ./Embeddings/ntu/ms_skateformer_1-1-pt5-multiStepmin3_ntu120.npz           0.3606           1.0           3.6027           3.8254           0.1624
