Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa           Ar*           ./Embeddings/MS_MViT_1-1pt5_HandLogin.npz           0.6456           0.0           4.1232           1.2563           0.284
deltaDistance           Ar*           ./Embeddings/MS_ViViT_pt5-1pt5_HandLogin.npz           0.6874           0.0           4.1121           2.0055           0.2652
masterFace           Ar*           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           Ar*           ./Embeddings/MS_TPN_1pt5-2pt5_HandLogin.npz           0.749           0.25           4.0856           2.709           0.001
dgbqa           r           ./Embeddings/MS_MViT_pt5-1_HandLogin.npz           0.575           0.0           4.1126           2.0918           0.3275
deltaDistance           r           ./Embeddings/MS_ViViT_pt5-1_HandLogin.npz           0.666           0.0           4.1469           1.8596           0.3006
masterFace           r           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           r           ./Embeddings/MS_TPN_1pt5-2pt5_HandLogin.npz           0.749           0.25           4.0856           2.709           0.001
dgbqa           R           ./Embeddings/MS_MViT_1-1pt5_HandLogin.npz           0.6456           0.0           4.1232           1.2563           0.284
deltaDistance           R           ./Embeddings/MS_ViViT_pt5-1_HandLogin.npz           0.666           0.0           4.1469           1.8596           0.3006
masterFace           R           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           R           ./Embeddings/MS_TPN_1pt5-2pt5_HandLogin.npz           0.749           0.25           4.0856           2.709           0.001
dgbqa           psi           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.5208           0.5           3.9572           0.8276           0.3726
deltaDistance           psi           ./Embeddings/MS_TAM_pt5-2pt5_HandLogin.npz           0.3583           0.5           3.7353           1.1786           0.6629
masterFace           psi           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           psi           ./Embeddings/MS_TAM_pt5-pt5_HandLogin.npz           0.4792           0.5           3.8336           1.0129           0.3609
dgbqa           Ar           ./Embeddings/MS_MViT_pt5-1_HandLogin.npz           0.575           0.0           4.1126           2.0918           0.3275
deltaDistance           Ar           ./Embeddings/MS_ViViT_1pt5-pt5_HandLogin.npz           0.6578           0.0           4.0681           2.0426           0.3332
masterFace           Ar           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           Ar           ./Embeddings/MS_TPN_1pt5-2pt5_HandLogin.npz           0.749           0.25           4.0856           2.709           0.001
dgbqa           ArCd           ./Embeddings/MS_MViT_1-1pt5_HandLogin.npz           0.6456           0.0           4.1232           1.2563           0.284
deltaDistance           ArCd           ./Embeddings/MS_ViViT_pt5-1pt5_HandLogin.npz           0.6874           0.0           4.1121           2.0055           0.2652
masterFace           ArCd           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           ArCd           ./Embeddings/MS_TPN_1pt5-2pt5_HandLogin.npz           0.749           0.25           4.0856           2.709           0.001
dgbqa           Ar_psi           ./Embeddings/MS_MViT_1-1pt5_HandLogin.npz           0.6456           0.0           4.1232           1.2563           0.284
deltaDistance           Ar_psi           ./Embeddings/MS_ViViT_1pt5-pt5_HandLogin.npz           0.6578           0.0           4.0681           2.0426           0.3332
masterFace           Ar_psi           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           Ar_psi           ./Embeddings/MS_TPN_1pt5-2pt5_HandLogin.npz           0.749           0.25           4.0856           2.709           0.001
dgbqa           Cd_psi           ./Embeddings/MS_TPN_1pt5-1_HandLogin.npz           0.4883           0.5           4.0212           2.1376           0.0093
deltaDistance           Cd_psi           ./Embeddings/MS_TPN_1pt5-1_HandLogin.npz           0.5163           0.5           3.8945           3.4145           0.0093
masterFace           Cd_psi           ./Embeddings/MS_TPN_1pt5-1_HandLogin.npz           0.0675           2.0           1.4591           2.4034           0.0093
swipeQuality           Cd_psi           ./Embeddings/MS_TPN_1pt5-1pt5_HandLogin.npz           0.0583           2.0           1.9215           1.3734           0.0607
dgbqa           euclid           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.5208           0.5           3.9572           0.8276           0.3726
deltaDistance           euclid           ./Embeddings/MS_TAM_pt5-2pt5_HandLogin.npz           0.3583           0.5           3.7353           1.1786           0.6629
masterFace           euclid           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           euclid           ./Embeddings/MS_TAM_pt5-pt5_HandLogin.npz           0.4792           0.5           3.8336           1.0129           0.3609
dgbqa           corr           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.5208           0.5           3.9572           0.8276           0.3726
deltaDistance           corr           ./Embeddings/MS_TAM_pt5-2pt5_HandLogin.npz           0.3583           0.5           3.7353           1.1786           0.6629
masterFace           corr           ./Embeddings/MS_MViT_1-1_HandLogin.npz           0.6366           0.0           4.1432           1.7404           0.3726
swipeQuality           corr           ./Embeddings/MS_TAM_pt5-pt5_HandLogin.npz           0.4792           0.5           3.8336           1.0129           0.3609
dgbqa           DCG           ./Embeddings/MS_MViT_pt5-pt5_HandLogin.npz           0.454           0.5           3.9355           3.1904           0.3134
deltaDistance           DCG           ./Embeddings/Test/DGBQA_CGID_Res3D-MF_1pt5-2pt5_HandLogin.npz           0.4608           1.0           3.7854           3.1223           0.2464
masterFace           DCG           ./Embeddings/MS_TPN_pt5-pt5_HandLogin.npz           0.417           1.0           3.7564           3.1881           0.2875
swipeQuality           DCG           ./Embeddings/MS_TPN_pt5-pt5_HandLogin.npz           0.5559           0.5           3.8103           2.9861           0.2875
dgbqa           Kendall           ./Embeddings/MS_TAM_1-2pt5_HandLogin.npz           0.4486           1.0           3.4754           3.6057           0.0962
deltaDistance           Kendall           ./Embeddings/MS_ViViT_1-pt5_HandLogin.npz           0.2407           1.0           2.8937           3.751           0.3655
masterFace           Kendall           ./Embeddings/MS_TPN_1pt5-2pt5_HandLogin.npz           0.521           0.75           3.5979           3.5259           0.001
swipeQuality           Kendall           ./Embeddings/MS_ViViT_pt5-1pt5_HandLogin.npz           0.3106           1.0           3.0691           4.0084           0.2652
dgbqa           ERR           ./Embeddings/MS_MViT_pt5-pt5_HandLogin.npz           0.454           0.5           3.9355           3.1904           0.3134
deltaDistance           ERR           ./Embeddings/Test/DGBQA_CGID_Res3D-MF_1pt5-2pt5_HandLogin.npz           0.4608           1.0           3.7854           3.1223           0.2464
masterFace           ERR           ./Embeddings/MS_TPN_pt5-pt5_HandLogin.npz           0.417           1.0           3.7564           3.1881           0.2875
swipeQuality           ERR           ./Embeddings/MS_TPN_pt5-pt5_HandLogin.npz           0.5559           0.5           3.8103           2.9861           0.2875
