Quantifier             Metric             selectedModel                                  nAr*             r             R             Psi             Cd
dgbqa           Ar*           ./Embeddings/MS_MF_1-1pt5_Tiny.npz           0.301           1.4545           8.2872           2.2759           0.4836
deltaDistance           Ar*           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           Ar*           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           Ar*           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.222           1.4545           7.2666           4.4466           0.5408
swipeQuality           Ar*           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           r           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.2692           1.2727           8.3921           2.2479           0.4881
deltaDistance           r           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           r           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1_Tiny.npz           0.2547           1.0909           8.1552           3.3549           0.502
genCapacity           r           ./Embeddings/MS_TAM_1-1pt5_Tiny.npz           0.1973           1.0909           7.2056           3.9245           0.5703
swipeQuality           r           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           R           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2413           1.4545           8.5006           2.1387           0.5408
deltaDistance           R           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           R           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           R           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-1_Tiny.npz           0.2144           1.2727           7.7425           3.2035           0.5151
swipeQuality           R           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           psi           ./Embeddings/MS_TAM_1-1_Tiny.npz           0.1962           2.0           8.0011           1.9956           0.6514
deltaDistance           psi           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-2pt5_Tiny.npz           0.1389           2.0           7.9444           2.9874           0.4692
masterFace           psi           ./Embeddings/MS_MF_1-2pt5_Tiny.npz           0.1825           2.0           7.644           2.5504           0.478
genCapacity           psi           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-1_Tiny.npz           0.2144           1.2727           7.7425           3.2035           0.5151
swipeQuality           psi           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           Ar           ./Embeddings/MS_MF_1-1pt5_Tiny.npz           0.301           1.4545           8.2872           2.2759           0.4836
deltaDistance           Ar           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           Ar           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           Ar           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.222           1.4545           7.2666           4.4466           0.5408
swipeQuality           Ar           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           ArCd           ./Embeddings/MS_MF_1-1pt5_Tiny.npz           0.301           1.4545           8.2872           2.2759           0.4836
deltaDistance           ArCd           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           ArCd           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           ArCd           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.222           1.4545           7.2666           4.4466           0.5408
swipeQuality           ArCd           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           Ar_psi           ./Embeddings/MS_MF_1-1pt5_Tiny.npz           0.301           1.4545           8.2872           2.2759           0.4836
deltaDistance           Ar_psi           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.2383           1.6364           8.0789           3.4827           0.5408
masterFace           Ar_psi           ./Embeddings/DGBQA_CGID_Res3D-ViViT_pt5-1pt5_Tiny.npz           0.3199           1.0909           8.2919           2.8731           0.4881
genCapacity           Ar_psi           ./Embeddings/DGBQA_CGID_Res3D-ViViT_1-2pt5_Tiny.npz           0.222           1.4545           7.2666           4.4466           0.5408
swipeQuality           Ar_psi           ./Embeddings/MS_TAM_1-2pt5_Tiny.npz           0.1373           2.9091           7.1167           2.9727           0.5556
dgbqa           Cd_psi           ./Embeddings/MS_MF_1-1pt5_Tiny.npz           0.301           1.4545           8.2872           2.2759           0.4836
