kappa      lambda      nu      beta      model
0.01      2.0      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
0.05      2.0      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
0.1      2.0      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
0.25      2.0      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
0.5      2.0      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
0.75      2.0      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
1.0      2.0      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
1.5      2.0      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
2.0      2.0      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
3.0      2.0      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
4.0      2.0      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
1.0      0.01      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
1.0      0.05      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
1.0      0.1      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
1.0      0.25      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
1.0      0.5      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
1.0      0.75      1.0      0.75      MS_MViT_pt5-1pt5_SOLI
