quants      kappa      lambda      nu      beta      model
dgbqa      0.01      2.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      0.05      2.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      0.1      2.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      0.25      2.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      0.5      2.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      0.75      2.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      2.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.5      2.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      2.0      2.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      4.0      2.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      0.01      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      0.05      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      0.1      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      0.25      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      0.5      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      0.75      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      1.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      1.5      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      2.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      3.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      4.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      2.0      0.01      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      2.0      0.05      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      2.0      0.1      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      2.0      0.25      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      2.0      0.5      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      2.0      0.75      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      2.0      1.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      2.0      1.5      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      2.0      2.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      2.0      3.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      2.0      4.0      0.75      scut/ms_vivit_1-pt01_scut
dgbqa      1.0      2.0      1.0      0.01      scut/ms_vivit_1-pt01_scut
